CPU: 0.10700363404201081  Memory: 0.08194906 
CPU: 0.10700363404201081  Memory: 0.081997 
CPU: 0.10700363404201081  Memory: 0.081997 
CPU: 0.10700363404201081  Memory: 0.08202097 
CPU: 0.10700363404201081  Memory: 0.082068905 
CPU: 0.10700363404201081  Memory: 0.082068905 
CPU: 0.10700363404201081  Memory: 0.082068905 
CPU: 0.10700363404201081  Memory: 0.08211684 
CPU: 0.10700363404201081  Memory: 0.08214081 
CPU: 0.10700363404201081  Memory: 0.08214081 
CPU: 0.10700363404201081  Memory: 0.08214081 
CPU: 0.10700363404201081  Memory: 0.08216478 
CPU: 0.10700363404201081  Memory: 0.08218875 
CPU: 0.10700363404201081  Memory: 0.08218875 
CPU: 0.10700363404201081  Memory: 0.08221272 
CPU: 0.10700363404201081  Memory: 0.08226065 
CPU: 0.10700363404201081  Memory: 0.08233256 
CPU: 0.1069998933014184  Memory: 0.08235653 
CPU: 0.1069998933014184  Memory: 0.08235653 
CPU: 0.1069998933014184  Memory: 0.08235653 
CPU: 0.1069998933014184  Memory: 0.082380496 
CPU: 0.1069998933014184  Memory: 0.082404464 
CPU: 0.1069998933014184  Memory: 0.082404464 
CPU: 0.1069998933014184  Memory: 0.08247637 
CPU: 0.1069998933014184  Memory: 0.08250034 
CPU: 0.1069998933014184  Memory: 0.08252431 
CPU: 0.1069998933014184  Memory: 0.082572244 
CPU: 0.1069998933014184  Memory: 0.082572244 
CPU: 0.1069998933014184  Memory: 0.08259621 
CPU: 0.1069998933014184  Memory: 0.08262018 
CPU: 0.1069998933014184  Memory: 0.08264415 
CPU: 0.1069998933014184  Memory: 0.08264415 
CPU: 0.1069998933014184  Memory: 0.08266812 
CPU: 0.1069998933014184  Memory: 0.08266812 
CPU: 0.1069998933014184  Memory: 0.08269209 
CPU: 0.1069998933014184  Memory: 0.08269209 
CPU: 0.1069998933014184  Memory: 0.082716055 
CPU: 0.1069998933014184  Memory: 0.082764 
CPU: 0.1069998933014184  Memory: 0.082764 
CPU: 0.1069998933014184  Memory: 0.08278797 
CPU: 0.1069998933014184  Memory: 0.08278797 
CPU: 0.1069998933014184  Memory: 0.082835905 
CPU: 0.1069998933014184  Memory: 0.082835905 
CPU: 0.1069998933014184  Memory: 0.08293178 
CPU: 0.1069998933014184  Memory: 0.08293178 
CPU: 0.1069998933014184  Memory: 0.083003685 
CPU: 0.1069998933014184  Memory: 0.083003685 
CPU: 0.1069998933014184  Memory: 0.08302765 
CPU: 0.1069998933014184  Memory: 0.08302765 
CPU: 0.1069998933014184  Memory: 0.08307559 
CPU: 0.1069998933014184  Memory: 0.08307559 
CPU: 0.1069998933014184  Memory: 0.083147496 
CPU: 0.1069998933014184  Memory: 0.083147496 
CPU: 0.1069998933014184  Memory: 0.083147496 
CPU: 0.1069998933014184  Memory: 0.08319543 
CPU: 0.1069998933014184  Memory: 0.0832194 
CPU: 0.1069998933014184  Memory: 0.08324337 
CPU: 0.1069998933014184  Memory: 0.08324337 
CPU: 0.1069998933014184  Memory: 0.08329131 
CPU: 0.1069998933014184  Memory: 0.083339244 
CPU: 0.1069998933014184  Memory: 0.083339244 
CPU: 0.1069998933014184  Memory: 0.08341115 
